MoistureCont,Interconnect,RealDensity,UltimateStress
0.53,1.53,2.89,55.3
0.6,1.72,2.96,39.4
0.34,1.33,2.96,77
0.33,1.29,2.93,43.7
0.28,1.5,2.93,35.9
0.25,1.43,2.93,73.2
0.15,1,2.92,129.6
0.12,0.76,2.92,159.6
0.2,1.37,2.92,116.9
0.2,1.37,2.89,105.1
0.15,1.2,2.89,130.1
0.16,1.28,2.89,95.3
0.17,1.38,2.89,131.6
0.13,1,2.89,120.2
0.11,0.97,2.89,134.7
0.15,1.32,2.89,128
0.12,1.3,2.89,116.4
0.11,1.38,2.89,78.5
0.08,1.02,2.89,74.9
0.13,1.21,2.9,124.8
0.15,1.29,2.9,135.2
0.15,1.31,2.9,103.7
0.09,1.3,2.94,102.9
0.09,1.26,2.94,80.1
4.28,1.2,2.43,45.8
5.38,1.09,2.43,74.46
4.16,1.25,2.51,53.08
5.99,1.13,2.46,47.59
4.99,1.2,2.52,73.46
3.83,1.2,2.39,69.18
4.24,1.16,2.5,37.88
5.41,1.13,2.45,48.25
4.72,1.22,2.43,54.39
5.11,1.17,2.47,47.62
2.98,1.34,2.54,52.24
0.96,0.6,2.4,57.45
3.8,1.22,2.38,59.97
4.29,1.19,2.45,53.56
5.34,1.14,2.45,68.57
5.25,1.2,2.45,48.57
1.33,0.63,2.33,53.28
2.67,1.29,2.35,76.71
3.83,1.22,2.45,75.51
5.49,1.24,2.48,35.41
4.81,1.23,2.47,69.1
4,1.27,2.55,63.76
4.93,1.11,2.4,47
3.43,1.15,2.45,24.79
0.92,1.12,2.51,37.51
1.32,0.86,2.37,49.18
1.45,0.9,2.45,59.3
1.66,1.03,2.48,51.13
0.48,1.17,2.4,41.58
1.3,1.02,2.48,89.01
1.24,1.18,2.53,86.12
1.68,0.96,2.53,48.8
1.03,1.15,2.5,53.27
1.49,1.09,2.54,78
0.77,1.39,2.38,77.33
0.83,1.39,2.37,26.14
1.28,1.1,2.33,79.47
0.9,1.22,2.47,88.7
0.5,1.43,2.49,68.19
1.09,1.12,2.42,79.94
0.32,1.88,2.55,84.4
1.45,1.06,2.56,73.66
1.36,1.13,2.5,75.61
0.98,1.2,2.44,87.84
0.79,1.16,2.41,81.34
1.87,1.8,2.42,34.48
4.07,1.12,2.41,68.02
0.95,1.26,2.45,90.94
1.57,1.17,2.42,59.81
3.9,1.38,2.35,28.58
4.07,1.64,2.39,39.56
3.16,1.18,2.38,54.69
3.93,0.61,2.48,67.79
0.85,1.94,2.47,52.9
3.97,0.91,2.4,47.64
1.13,1.85,2.43,77.05
3.74,0.31,2.44,53.05
4.13,1.43,2.37,61.43
3.92,1.15,2.46,86.53
3.91,1.17,2.45,81.39
7.79,16.12,2.07,31.6
7.08,16.77,2.37,28.6
7.09,16.87,2.38,46.8
9.24,20.9,2.26,15.2
8.43,18.93,2.24,18.3
6.96,16.16,2.32,11.7
8.01,17.92,2.24,22.7
5.98,14.25,2.38,42.1
5.79,13.98,2.42,53.4
11.25,24.15,2.15,14.9
7.49,17.57,2.34,68.6
9.19,17.52,1.91,8.6
6.31,14.49,2.3,23.2
6.72,15.74,2.34,40.7
3.96,9.88,2.5,43.5
4.19,10.41,2.48,28.7
7.5,17.17,2.29,43.6
4.28,11.03,2.58,55.5
8,18.3,2.29,32.3
5.71,13.89,2.43,61.3
4.51,11.3,2.51,78
6.2,14.9,2.4,61.9
4.23,10.8,2.55,42.4
11.32,23.85,2.11,49.1
5.8,14.64,2.52,84.7
5.38,13.23,2.46,72.8
4.31,11.04,2.56,38.1
7.22,16.55,2.29,33.2
7.24,16.34,2.26,58
5.49,13.27,2.42,23.9
7.57,17.16,2.27,21.3
6.14,13.93,2.27,40
5.94,14.18,2.39,34.8
6.02,13.64,2.27,43.6
6.27,14.44,2.3,18.5
7.29,16.35,2.24,54.1
8.03,18.06,2.25,45.5
12.66,25.84,2.04,44.1
6.69,15.16,2.27,22.4
4.39,10.81,2.47,35.1
13.62,28.46,2.09,43.4
5.39,13.25,2.46,37.4
4.27,10.59,2.48,31
3.73,9.73,2.61,36.5
4.08,10.43,2.56,63.7
11.82,25.73,2.18,15.7
4.74,12.22,2.58,57.6
4.97,11.94,2.4,40.5
5.09,12.74,2.5,65.1
3.95,10.32,2.62,23.3
